[DemoDirector] silenced 2 ROS component(s)
[DemoDirector] capture camera ready (1280x720)
[DemoDirector] shot=seed404_high preset=overview fps=30 1280x720 start=0s duration=20s frames=600 ride=main
[DemoDirector] framing center=(0.40, 1.40, 0.00) radius=2.80 pileSize=(0.00, 0.00, 0.00)
[DemoDirector] progress frame=30 captured=30 virtualTime=0.97s wall=3.1s lastCapture=81.1ms avgCapture=87.5ms worst=329.0ms
[DemoDirector] progress frame=60 captured=60 virtualTime=1.97s wall=5.6s lastCapture=81.0ms avgCapture=84.3ms worst=329.0ms
[DemoDirector] progress frame=90 captured=90 virtualTime=2.97s wall=8.1s lastCapture=80.0ms avgCapture=83.4ms worst=329.0ms
[DemoDirector] progress frame=120 captured=120 virtualTime=3.97s wall=10.5s lastCapture=79.9ms avgCapture=82.6ms worst=329.0ms
[DemoDirector] progress frame=150 captured=150 virtualTime=4.97s wall=13.0s lastCapture=80.6ms avgCapture=81.9ms worst=329.0ms
[DemoDirector] progress frame=180 captured=180 virtualTime=5.97s wall=15.4s lastCapture=79.5ms avgCapture=81.5ms worst=329.0ms
[DemoDirector] progress frame=210 captured=210 virtualTime=6.97s wall=17.9s lastCapture=77.4ms avgCapture=81.1ms worst=329.0ms
[DemoDirector] progress frame=240 captured=240 virtualTime=7.97s wall=20.3s lastCapture=77.2ms avgCapture=80.7ms worst=329.0ms
[DemoDirector] progress frame=270 captured=270 virtualTime=8.97s wall=22.7s lastCapture=77.7ms avgCapture=80.4ms worst=329.0ms
[DemoDirector] progress frame=300 captured=300 virtualTime=9.97s wall=25.2s lastCapture=78.1ms avgCapture=80.2ms worst=329.0ms
[DemoDirector] progress frame=330 captured=330 virtualTime=10.97s wall=27.6s lastCapture=77.9ms avgCapture=80.0ms worst=329.0ms
[DemoDirector] progress frame=360 captured=360 virtualTime=11.97s wall=30.0s lastCapture=79.7ms avgCapture=79.8ms worst=329.0ms
[DemoDirector] progress frame=390 captured=390 virtualTime=12.97s wall=32.4s lastCapture=77.1ms avgCapture=79.7ms worst=329.0ms
[DemoDirector] progress frame=420 captured=420 virtualTime=13.97s wall=34.8s lastCapture=79.9ms avgCapture=79.6ms worst=329.0ms
[DemoDirector] progress frame=450 captured=450 virtualTime=14.97s wall=37.2s lastCapture=77.9ms avgCapture=79.5ms worst=329.0ms
[DemoDirector] progress frame=480 captured=480 virtualTime=15.97s wall=39.6s lastCapture=77.9ms avgCapture=79.5ms worst=329.0ms
[DemoDirector] progress frame=510 captured=510 virtualTime=16.97s wall=42.1s lastCapture=77.8ms avgCapture=79.4ms worst=329.0ms
[DemoDirector] progress frame=540 captured=540 virtualTime=17.97s wall=44.5s lastCapture=77.1ms avgCapture=79.3ms worst=329.0ms
[DemoDirector] progress frame=570 captured=570 virtualTime=18.97s wall=46.9s lastCapture=79.0ms avgCapture=79.3ms worst=329.0ms
[DemoDirector] progress frame=600 captured=600 virtualTime=19.97s wall=49.3s lastCapture=77.3ms avgCapture=79.2ms worst=329.0ms
