[DemoDirector] silenced 2 ROS component(s)
[DemoDirector] capture camera ready (1280x720)
[DemoDirector] shot=seed404_orbit preset=orbit fps=30 1280x720 start=0s duration=30s frames=900 ride=main
[DemoDirector] framing center=(0.35, 0.80, 0.00) radius=2.80 pileSize=(0.00, 0.00, 0.00)
[DemoDirector] progress frame=30 captured=30 virtualTime=0.97s wall=2.5s lastCapture=64.1ms avgCapture=69.3ms worst=256.5ms
[DemoDirector] progress frame=60 captured=60 virtualTime=1.97s wall=4.5s lastCapture=65.0ms avgCapture=66.6ms worst=256.5ms
[DemoDirector] progress frame=90 captured=90 virtualTime=2.97s wall=6.5s lastCapture=74.4ms avgCapture=65.9ms worst=256.5ms
[DemoDirector] progress frame=120 captured=120 virtualTime=3.97s wall=8.4s lastCapture=64.5ms avgCapture=65.2ms worst=256.5ms
[DemoDirector] progress frame=150 captured=150 virtualTime=4.97s wall=10.3s lastCapture=60.4ms avgCapture=64.3ms worst=256.5ms
[DemoDirector] progress frame=180 captured=180 virtualTime=5.97s wall=12.1s lastCapture=58.2ms avgCapture=63.6ms worst=256.5ms
[DemoDirector] progress frame=210 captured=210 virtualTime=6.97s wall=14.0s lastCapture=61.7ms avgCapture=63.2ms worst=256.5ms
[DemoDirector] progress frame=240 captured=240 virtualTime=7.97s wall=15.9s lastCapture=58.8ms avgCapture=62.9ms worst=256.5ms
[DemoDirector] progress frame=270 captured=270 virtualTime=8.97s wall=17.8s lastCapture=60.6ms avgCapture=62.6ms worst=256.5ms
[DemoDirector] progress frame=300 captured=300 virtualTime=9.97s wall=19.7s lastCapture=60.9ms avgCapture=62.4ms worst=256.5ms
[DemoDirector] progress frame=330 captured=330 virtualTime=10.97s wall=21.5s lastCapture=60.6ms avgCapture=62.2ms worst=256.5ms
[DemoDirector] progress frame=360 captured=360 virtualTime=11.97s wall=23.4s lastCapture=58.0ms avgCapture=62.0ms worst=256.5ms
[DemoDirector] progress frame=390 captured=390 virtualTime=12.97s wall=25.2s lastCapture=60.9ms avgCapture=61.8ms worst=256.5ms
[DemoDirector] progress frame=420 captured=420 virtualTime=13.97s wall=27.1s lastCapture=58.4ms avgCapture=61.7ms worst=256.5ms
[DemoDirector] progress frame=450 captured=450 virtualTime=14.97s wall=28.9s lastCapture=61.2ms avgCapture=61.6ms worst=256.5ms
[DemoDirector] progress frame=480 captured=480 virtualTime=15.97s wall=30.8s lastCapture=58.9ms avgCapture=61.5ms worst=256.5ms
[DemoDirector] progress frame=510 captured=510 virtualTime=16.97s wall=32.7s lastCapture=61.9ms avgCapture=61.4ms worst=256.5ms
[DemoDirector] progress frame=540 captured=540 virtualTime=17.97s wall=34.5s lastCapture=62.4ms avgCapture=61.4ms worst=256.5ms
[DemoDirector] progress frame=570 captured=570 virtualTime=18.97s wall=36.4s lastCapture=57.9ms avgCapture=61.4ms worst=256.5ms
[DemoDirector] progress frame=600 captured=600 virtualTime=19.97s wall=38.2s lastCapture=59.8ms avgCapture=61.2ms worst=256.5ms
[DemoDirector] progress frame=630 captured=630 virtualTime=20.97s wall=40.1s lastCapture=61.3ms avgCapture=61.2ms worst=256.5ms
[DemoDirector] progress frame=660 captured=660 virtualTime=21.97s wall=41.9s lastCapture=57.8ms avgCapture=61.1ms worst=256.5ms
[DemoDirector] progress frame=690 captured=690 virtualTime=22.97s wall=43.7s lastCapture=56.6ms avgCapture=61.0ms worst=256.5ms
[DemoDirector] progress frame=720 captured=720 virtualTime=23.97s wall=45.5s lastCapture=56.7ms avgCapture=60.9ms worst=256.5ms
[DemoDirector] progress frame=750 captured=750 virtualTime=24.97s wall=47.3s lastCapture=59.1ms avgCapture=60.8ms worst=256.5ms
[DemoDirector] progress frame=780 captured=780 virtualTime=25.97s wall=49.1s lastCapture=57.8ms avgCapture=60.7ms worst=256.5ms
[DemoDirector] progress frame=810 captured=810 virtualTime=26.97s wall=51.0s lastCapture=57.6ms avgCapture=60.7ms worst=256.5ms
[DemoDirector] progress frame=840 captured=840 virtualTime=27.97s wall=52.8s lastCapture=62.0ms avgCapture=60.7ms worst=256.5ms
[DemoDirector] progress frame=870 captured=870 virtualTime=28.97s wall=54.7s lastCapture=61.1ms avgCapture=60.7ms worst=256.5ms
[DemoDirector] progress frame=900 captured=900 virtualTime=29.97s wall=56.6s lastCapture=62.2ms avgCapture=60.7ms worst=256.5ms
